Sensor	Output	Time
0 0 6335
0 0 6335
0 0 6336
0 0 6337
0 0 6338
0 0 6339
0 0 6340
0 0 6340
0 0 6341
0 0 6342
0 0 6343
0 0 6344
0 0 6345
0 0 6345
0 0 6346
0 0 6347
0 0 6348
0 0 6349
0 0 6350
0 0 6350
0 0 6351
0 0 6352
0 0 6353
0 0 6354
0 0 6355
0 0 6355
0 0 6356
0 0 6358
0 0 6359
0 0 6360
0 0 6360
0 0 6361
0 0 6362
0 0 6363
0 0 6364
0 0 6365
0 0 6365
0 0 6366
0 0 6367
0 0 6368
0 0 6369
0 0 6370
0 0 6370
0 0 6371
0 0 6372
0 0 6373
0 0 6374
0 0 6375
0 0 6375
0 0 6376
0 0 6377
0 0 6378
0 0 6379
0 0 6380
0 0 6380
0 0 6381
0 0 6382
0 0 6383
0 0 6384
0 0 6385
0 0 6385
0 0 6386
0 0 6387
0 0 6388
0 0 6389
0 0 6390
0 0 6390
0 0 6391
0 0 6392
0 0 6393
0 0 6394
0 0 6395
0 0 6395
63 15 6396
1023 255 6397
1023 255 6398
1023 255 6401
1023 255 6402
1022 254 6403
1023 255 6404
1023 255 6406
1023 255 6407
1023 255 6408
1023 255 6409
1023 255 6411
1023 255 6412
1023 255 6413
1023 255 6414
1023 255 6416
1023 255 6417
1023 255 6418
1023 255 6419
1023 255 6421
1023 255 6422
1023 255 6423
1023 255 6424
1023 255 6426
1023 255 6427
1023 255 6428
1023 255 6429
1023 255 6431
1022 254 6432
1023 255 6433
1023 255 6434
1023 255 6436
1023 255 6437
1023 255 6438
1023 255 6439
1023 255 6441
1023 255 6443
1023 255 6444
1023 255 6445
1023 255 6447
1023 255 6448
1023 255 6449
1023 255 6450
1023 255 6451
1023 255 6453
1023 255 6454
1023 255 6455
1023 255 6456
1023 255 6458
1023 255 6459
1023 255 6460
1023 255 6461
1022 254 6463
1023 255 6464
1023 255 6465
1023 255 6466
1023 255 6468
1023 255 6469
1023 255 6470
1023 255 6471
1023 255 6473
1023 255 6474
1023 255 6475
1023 255 6476
1023 255 6478
1023 255 6479
1023 255 6480
1021 254 6481
1023 255 6483
1023 255 6484
1023 255 6486
1023 255 6487
1023 255 6489
1023 255 6490
1023 255 6491
1023 255 6492
1023 255 6494
1023 255 6495
1023 255 6496
1023 255 6497
1023 255 6499
1023 255 6500
1023 255 6501
1023 255 6502
1023 255 6504
1023 255 6505
1023 255 6506
1023 255 6507
1023 255 6509
1023 255 6510
1023 255 6511
1023 255 6512
1023 255 6513
1023 255 6515
1023 255 6516
1023 255 6517
1023 255 6518
1023 255 6520
1023 255 6521
1023 255 6522
1023 255 6523
1023 255 6525
1023 255 6526
1023 255 6528
1023 255 6529
1023 255 6531
1023 255 6532
1023 255 6533
1023 255 6534
1023 255 6536
1023 255 6537
1023 255 6538
1023 255 6539
1022 254 6541
1023 255 6542
1023 255 6543
1023 255 6544
1023 255 6546
1023 255 6547
1023 255 6548
1023 255 6549
1023 255 6551
1023 255 6552
1023 255 6553
1023 255 6554
1023 255 6556
1023 255 6557
1023 255 6558
1023 255 6559
1023 255 6561
1023 255 6562
1023 255 6563
1023 255 6564
1023 255 6566
1023 255 6567
1023 255 6568
1023 255 6569
1023 255 6572
1023 255 6573
1023 255 6574
1023 255 6575
1023 255 6577
1023 255 6578
1023 255 6579
1023 255 6580
1023 255 6581
1023 255 6583
1023 255 6584
39 9 6585
2 0 6586
1 0 6587
0 0 6588
0 0 6589
0 0 6589
0 0 6590
1 0 6591
0 0 6592
0 0 6593
0 0 6594
0 0 6594
0 0 6595
0 0 6596
0 0 6597
0 0 6598
0 0 6599
0 0 6599
0 0 6600
0 0 6601
0 0 6602
0 0 6603
0 0 6604
0 0 6604
0 0 6605
0 0 6606
0 0 6607
0 0 6608
0 0 6609
0 0 6609
0 0 6610
0 0 6611
0 0 6612
0 0 6614
0 0 6615
0 0 6615
1 0 6616
0 0 6617
0 0 6618
0 0 6619
0 0 6619
0 0 6620
0 0 6621
0 0 6622
0 0 6623
0 0 6624
0 0 6624
0 0 6625
0 0 6626
0 0 6627
0 0 6628
0 0 6629
0 0 6629
0 0 6630
0 0 6631
0 0 6632
0 0 6633
0 0 6634
0 0 6634
0 0 6635
0 0 6636
0 0 6637
0 0 6638
0 0 6639
0 0 6639
0 0 6640
0 0 6641
0 0 6642
0 0 6643
0 0 6644
0 0 6644
